target_queue_length,conflicting_volume,time_since_last_phase,num_conflicting_lanes,downstream_lane_length,clearance_distance,label
1.0,0.0,12.251929645544177,8.0,19.56,28.0,1
4.0,6.0,23.67751018671519,8.0,32.84,28.0,1
0.0,0.0,59.05756879060285,3.0,47.01,10.5,1
0.0,1.0,50.19642808120181,6.0,32.87,21.0,1
0.0,0.0,35.73634131216155,11.0,36.99,38.5,0
1.0,1.0,31.622104916634097,2.0,121.13,7.0,0
0.0,0.0,57.45130626386331,2.0,77.71,7.0,0
0.0,2.0,41.601327694687875,3.0,97.24,10.5,1
0.0,0.0,19.224398167119983,7.0,15.57,24.5,1
0.0,15.0,49.53039207717012,45.0,9.87,157.5,1
0.0,8.0,11.784902952159523,7.0,166.61,24.5,1
0.0,1.0,53.51363495268856,5.0,28.64,17.5,1
0.0,0.0,13.451051336035048,5.0,15.08,17.5,1
0.0,1.0,9.21148033313257,3.0,125.19,10.5,1
0.0,3.0,55.83100739436202,2.0,53.92,7.0,1
0.0,3.0,47.874791824696324,9.0,54.66,31.5,1
0.0,2.0,20.54946681337372,13.0,10.18,45.5,1
0.0,0.0,54.85059753512079,5.0,33.95,17.5,0
0.0,0.0,46.680668519352444,2.0,105.03,7.0,0
0.0,0.0,8.62442715658599,7.0,41.91,24.5,0
0.0,0.0,25.880076100946965,2.0,117.89,7.0,0
0.0,1.0,24.59218864281069,2.0,189.68,7.0,0
0.0,0.0,57.007467015518536,2.0,199.31,7.0,0
0.0,1.0,43.15202001312863,2.0,280.32,7.0,0
0.0,14.0,28.647608459075805,2.0,89.02,7.0,1
0.0,14.0,31.233946055430202,2.0,89.02,7.0,1
0.0,0.0,28.72528189216817,3.0,54.83,10.5,0
0.0,1.0,29.480438929362123,14.0,40.04,49.0,0
0.0,3.0,30.488593913065536,8.0,19.56,28.0,1
0.0,0.0,26.348641476678168,12.0,4.12,42.0,1
0.0,23.0,14.733708966771747,18.0,23.6,63.0,1
0.0,5.0,24.576112901168187,19.0,32.39,66.5,1
0.0,0.0,33.71418175040856,5.0,1.9,17.5,1
0.0,2.0,55.64344729093746,12.0,14.09,42.0,1
1.0,2.0,21.25922839598602,27.0,0.2,94.5,1
0.0,0.0,3.525970280884916,2.0,135.51,7.0,0
0.0,0.0,52.42053811248287,7.0,105.42,24.5,0
0.0,0.0,11.01639731443494,2.0,97.26,7.0,1
